game,opp_id,won,my_score,opp_score,t,total,ours,opp,uncertain,dead,created_exposed,own_half_exposed,cfg_margin,cfg_future_seed,cfg_created_near_tent_r,cfg_farm_r,raw
895550010,boss,False,244.0,324.0,10,277,56,50,171,0,0,114,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,15,320,120,131,69,0,0,70,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,20,319,32,137,150,0,0,150,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,25,331,0,173,158,0,20,172,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,30,344,59,140,145,0,8,105,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,35,363,20,127,216,0,16,152,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,40,355,40,160,155,0,20,116,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,45,356,94,116,146,0,0,58,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,50,370,20,114,236,0,24,140,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,55,368,52,158,158,0,22,98,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,60,373,20,182,171,0,34,130,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,65,372,62,234,76,0,0,76,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,70,369,63,193,113,0,0,57,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,75,371,20,234,117,0,0,96,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,80,361,59,118,184,0,0,57,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,85,351,0,288,63,0,4,120,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,90,339,48,175,116,0,0,76,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,95,321,44,197,80,0,0,76,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,100,311,59,163,89,0,0,57,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,105,303,59,147,97,0,0,57,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,110,303,20,179,104,0,4,100,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,115,283,48,159,76,0,0,76,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,120,295,20,143,132,0,16,112,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,125,291,20,127,144,0,8,104,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,130,299,44,175,80,0,0,76,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,135,287,20,163,104,0,4,100,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,140,275,20,111,144,0,8,104,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,145,279,40,119,120,0,4,80,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,150,285,40,165,80,0,0,76,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,155,265,0,206,59,0,0,116,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,160,261,44,101,116,0,0,76,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,165,247,40,79,128,0,0,76,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,170,251,40,135,76,0,0,76,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,175,247,40,55,152,0,4,80,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,180,251,0,127,124,0,8,124,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,185,257,20,93,144,0,0,96,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,190,259,44,99,116,0,0,76,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,195,243,78,119,46,0,0,38,3,1,2,2,data/boss5_games/boss/game_895550010.raw
895550010,boss,False,244.0,324.0,200,239,40,123,76,0,0,76,3,1,2,2,data/boss5_games/boss/game_895550010.raw
