agent_id,from_epoch,to_epoch,from_score,to_score,score_delta,games,wins,losses,ties,net_wins,opponent_score_mean,internal,outcome_complete,next_games,next_wins,next_losses,next_ties,next_net_wins,next_opponent_score_mean,next_outcome_complete
6479658,4,5,21.434068367902743,21.32536727362718,-0.10870109427556329,1,0,1,0,-1,23.035760298622517,True,True,34,14,20,0,-6,23.655737522010085,True
6479658,5,6,21.32536727362718,21.169106642199335,-0.15626063142784474,34,14,20,0,-6,23.655737522010085,True,True,1,0,1,0,-1,14.340609514210614,True
6479658,6,7,21.169106642199335,21.093018418845023,-0.07608822335431142,1,0,1,0,-1,14.340609514210614,True,True,13,6,7,0,-1,21.574436359775902,True
6479658,7,8,21.093018418845023,21.928377352910545,0.8353589340655212,13,6,7,0,-1,21.574436359775902,True,True,33,20,13,0,7,21.138692565579692,False
6479750,0,1,22.384285069183495,22.73913209149805,0.354847022314555,34,17,17,0,0,21.834865057651474,False,False,3,1,2,0,-1,23.802451822222054,True
6479750,1,2,22.73913209149805,22.69036736289763,-0.04876472860042114,3,1,2,0,-1,23.802451822222054,True,True,1,0,1,0,-1,25.253636143961657,True
6479750,2,3,22.69036736289763,22.384285069183495,-0.30608229371413387,1,0,1,0,-1,25.253636143961657,True,True,65,28,37,0,-9,23.43022442945412,True
6479750,3,4,22.384285069183495,22.13581248664765,-0.24847258253584315,65,28,37,0,-9,23.43022442945412,True,True,6,2,4,0,-2,23.035760298622517,True
6479750,4,5,22.13581248664765,22.384285069183495,0.24847258253584315,6,2,4,0,-2,23.035760298622517,True,True,28,15,13,0,2,23.77549420811322,True
6479750,5,6,22.384285069183495,22.832128881634105,0.44784381245061056,28,15,13,0,2,23.77549420811322,True,True,7,6,1,0,5,22.0938521795177,True
6479750,6,7,22.832128881634105,22.829826996089448,-0.0023018855446572672,7,6,1,0,5,22.0938521795177,True,True,2,1,1,0,0,21.052843999043848,False
6479768,0,1,30.995626715618947,31.414562416466275,0.418935700847328,25,25,0,0,25,17.900797964738363,False,False,3,3,0,0,3,18.848945233580906,True
6479768,1,2,31.414562416466275,30.995626715618947,-0.418935700847328,3,3,0,0,3,18.848945233580906,True,True,2,2,0,0,2,25.300558089344868,False
6479768,2,3,30.995626715618947,32.46565600668933,1.4700292910703823,2,2,0,0,2,25.300558089344868,True,False,10,10,0,0,10,26.343039768463562,False
6479768,3,4,32.46565600668933,30.995626715618947,-1.4700292910703823,10,10,0,0,10,26.343039768463562,True,False,135,95,40,0,55,26.972731004532324,False
6479768,4,5,30.995626715618947,31.008644748372593,0.01301803275364577,135,95,40,0,55,26.972731004532324,True,False,1,1,0,0,1,21.052843999043848,False
6479779,0,1,24.662391729514525,25.071457336037412,0.40906560652288704,5,5,0,0,5,17.92623631872037,False,False,3,3,0,0,3,22.76435585115658,True
6479779,1,2,25.071457336037412,25.1746796656573,0.10322232961988931,3,3,0,0,3,22.76435585115658,True,True,1,0,1,0,-1,26.30605586442285,True
6479779,2,3,25.1746796656573,24.662391729514525,-0.5122879361427763,1,0,1,0,-1,26.30605586442285,True,True,56,30,26,0,4,24.955711837152737,True
6479779,3,4,24.662391729514525,25.0011932080003,0.3388014784857738,56,30,26,0,4,24.955711837152737,True,True,10,3,7,0,-4,25.314475476488173,True
6479779,4,5,25.0011932080003,24.662391729514525,-0.3388014784857738,10,3,7,0,-4,25.314475476488173,True,True,68,29,39,0,-10,26.31649587264538,True
6479779,5,6,24.662391729514525,24.704171173637157,0.041779444122632015,68,29,39,0,-10,26.31649587264538,True,True,1,1,0,0,1,21.604189213539005,False
6479814,0,1,25.067771752895702,24.702308248928922,-0.3654635039667795,1,0,1,0,-1,19.451699051054227,False,False,18,11,7,0,4,25.4425496218459,True
6479814,1,2,24.702308248928922,25.120420768572302,0.4181125196433797,18,11,7,0,4,25.4425496218459,True,True,5,1,4,0,-3,25.910400289585624,True
6479814,2,3,25.120420768572302,25.245437235053963,0.12501646648166087,5,1,4,0,-3,25.910400289585624,True,True,8,5,3,0,2,25.253636143961657,True
6479814,3,4,25.245437235053963,25.091219623234835,-0.15421761181912785,8,5,3,0,2,25.253636143961657,True,True,2,0,2,0,-2,26.30605586442285,True
6479814,4,5,25.091219623234835,24.702308248928922,-0.3889113743059127,2,0,2,0,-2,26.30605586442285,True,True,30,9,21,0,-12,24.38917117221613,True
